category,y_true,y_pred,text_snippet
Home_and_Kitchen,3,4,small shaker container I purchased this container to put baking soda in - for cleaning purposes. I am a bit disappointed because the top doesn't stay on very well. If you are considering this for airtightness - it obviously is not - it has a shaker top and just a flap for closure
Home_and_Kitchen,3,4,bird bed cover set I really wanted to love this.. I love the 100% cotton.. the print is really pretty - but a dirty beige background. Wish it were lighter. The material seems really lightweight. I am nervous about how thin the back of the sham is. I worry about tears as you try t
Clothing_Shoes_and_Jewelry,3,4,Nice but liner is big Nice shorts but liner is too big. Not sure if these were designed for hippopotamus legs or what but liners are huge. My legs aren't exactly small either so not probably would be baggy for most. Other than that nice shore and even though the liner is baggy I 
Clothing_Shoes_and_Jewelry,4,3,"Too Narrow in the Legs I was excited to try these Gap pants. They looked very comfy and casual. I found them to be too narrow in the legs, especially in the calves. The quality seems to be fine. I think the size would be true fit everywhere else."
Home_and_Kitchen,4,3,"Looks great! Edited*** What's up with the glue? It looks just like the picture and quite possibly great for storing my teas, but I am concerned with the size since I wasn't sure it was going to be this big I have yet to actually store my teas in there so I can actually check if t"
Clothing_Shoes_and_Jewelry,4,3,"Shoes are heavy and have a chemical odor Two things about these boots warrant mentioning: they are very heavy (size 12, 5e), and they still have a chemical odor despite my use of foot powder and odor eater inserts.<br /><br />The width in general is ok, but the toe box feels tigh"
Electronics,4,5,"Absolutely Beautiful Fan, but... I love the elegant design of this fan. The only thing that holds this back from being a perfect fan is the unfortunate use of plastic for the wood grain parts. That takes away the richness of the fan. It would have been so much better, so much cla"
Home_and_Kitchen,4,5,"Mini blender Husband reports that it works well with the large cup. If you try to use the small cup, it just doesn't seem to engage without some real wrangling. He travels and I sent it to him. Easy to clean. He likes the lids that you can put on to drinks you haven't finished an"
Home_and_Kitchen,4,5,Looks very retro Most of the items in my kitchen are white including my old dish rack. This 1 is a black metal. My old 1 was metal Underneath with a white Rubberized coating. Old 1 was cracked where the coding came off The metal began to rust and 1 of the holders for the silverwa
Clothing_Shoes_and_Jewelry,5,4,Wash well and fit as described. These fit as expected. They are comfortable and fit as described. They wash well.
Clothing_Shoes_and_Jewelry,5,4,"Great for Travels! I absolutely love this new shirt!!! I plan to order another one (or two) after my next paycheck. I wear an 18/20. For this shirt, I ordered the XXL and it fit nicely. I might have been able to get by with the XL, but this one is fine. Shirts that are too large "
Home_and_Kitchen,5,4,"very soft Unfortunately, they pill a bit"
Home_and_Kitchen,1,5,"VERY Short Pumping Life I originally really liked this two bottle pump set when I bought them in May of 2020, and even bought a 2nd set in July of 2020. Initially, all 4 pumped well with nice thick foam. BUT by December of 2020 three of the four bottles would pump only a thin wat"
Home_and_Kitchen,1,5,The glass is very thin.. .but it is pretty The thin glass probably wont survive on the stove therefore I won't put it on my stove... I only use this beautiful tea pot when I make sun tea or full moon tea. And it work perfectly that way
Electronics,1,5,"****UPDATED FEEDBACK**** NOT RECOMMENDED. *****UPDATE*****<br /> I have to change this from 4 stars to 1 because it is no longer working. Since it's not reliable, I cannot recommend this product any longer.<br /><br />This is wonderful. I no longer need 3 keyboards and monitors. "
Electronics,5,1,"Install immediately I found a similar theme with off-brand HP cartridges, if you let them sit for too long and then try to install them, the printer won't recognize them at all. This product is not exempt from that. I don't know why it does it, and I don't know how to fix it, but"
Home_and_Kitchen,5,1,Worth it Small but giftable
Clothing_Shoes_and_Jewelry,5,1,"batwing filmy top I purchased for possible traveling... ended up donating it ... why 5 star rating?? Well, even though I didn't care for it - it is exactly as represented. It was well made. The colors were well represented in the photo - I just didn't like how it looked on. If I "
